CSDUID,CSDNAME,CSDTYPE,OMEC_LAT,OMEC_LON,OMEC_RAD_M
5907053,Okanagan-Similkameen G,RDA,49.30563698684436,-120.16553479032612,38105.040753203
5907055,Okanagan-Similkameen H,RDA,49.42886055373553,-120.44788645860423,55860.30101331396
5907801,Lower Similkameen 2,IRI,49.11956259349104,-119.73533670155786,2932.5415959501374
5907802,Osoyoos 1,IRI,49.13860207514905,-119.47928617082901,12124.081349463608
5907803,Penticton 1,IRI,49.48200216002886,-119.70942096124907,13506.840916988202
5907805,Chopaka 7 & 8,IRI,49.0398170445091,-119.71985613216818,4590.824634504819
5907806,Blind Creek 6,IRI,49.18381470852156,-119.73160678004152,1076.4792186456084
5907807,Chuchuwayha 2,IRI,49.3453875116321,-120.07832774441555,5862.923693167199
5907808,Alexis 9,IRI,49.21797867230788,-119.9196453982566,1061.7826417895171
5907809,Ashnola 10,IRI,49.2430818688481,-120.00427970898774,7565.577680579206
5907850,Lulu 5,IRI,49.40329277481796,-120.22908895627695,369.0086318508861
5909009,Hope,DM,49.36709174404701,-121.46339310085023,8236.403036748423
5909014,Fraser Valley A,RDA,49.89169357094335,-121.70867990024881,45735.08624310662
5909016,Fraser Valley B,RDA,49.35155536313299,-121.27129159744959,49752.990973488886
5909020,Chilliwack,CY,49.131569613056335,-121.9376456637199,13732.202766187482
5909027,Harrison Hot Springs,VL,49.295722145004454,-121.78599449160798,2233.6445798739455
5909032,Kent,DM,49.28868896833537,-121.78474544091611,14850.475842501814
5909034,Fraser Valley D,RDA,49.201857137581975,-121.64481536318794,14745.401966430409
5909035,Fraser Valley H,RDA,49.00876499294005,-121.98549087564085,9655.039349161223
5909036,Fraser Valley E,RDA,49.04878970849444,-121.60484296202044,24965.895759721025
5909048,Fraser Valley C,RDA,49.68463890099492,-122.3342338695153,59212.83317627394
5909052,Abbotsford,CY,49.08767224639401,-122.28243009855959,16033.189844458386
5909056,Mission,DM,49.23499895353866,-122.35115620760523,14028.319224125233
5909060,Fraser Valley F,RDA,49.555314765901365,-122.53566514846673,49480.31227268328
5909062,Fraser Valley G,RDA,49.17556674818233,-122.10966535855079,10823.372976746057
5909804,Chawathil 4,IRI,49.37057603867837,-121.53855145156245,2537.885958478873
5909805,Inkahtsaph 6,IRI,50.00186566189936,-121.5065368165067,1419.8487213286583
